id ,model_code                  ,price        ,نمودار مصرف انرژی ,وزن         ,گنجایش کل به لیتر ,گنجایش کل به فوت ,محدوده گنجایش کل به لیتر ,نوع مقاومت در برابر برفک ,شناسه کالا     ,گنجایش یخچال  ,تعداد طبقات یخچال ,تعداد طبقات درب یخچال ,تعداد کشو ,گنجایش فریزر  ,تعداد طبقات فریزر ,تعداد طبقات درب فریزر ,تعداد کشوی فریزر ,امکانات یخچال       ,جهت باز شدن درب یخچال ,جهت باز شدن درب فریزر ,میزان صدا     ,لزوم اتصال به شیر آب ,امکانات فریزر                 ,سایر ویژگی‌های فریزر                                                                                                                                                                                                                                                                                                                      ,ارتفاع یخچال-فریزر ,عمق یخچال-فریزر ,پهنای یخچال-فریزر ,سایر ویژگی‌ها                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,سایر ویژگی‌های یخچال                                                                                                                                                                                                                                                                                                                      ,نوع یخچال و فریزر ,ارتفاع          ,عمق            ,پهنا
16 ,DAEWOO-SBS-DS-3730MW        ,             ,A+                ,۱۲۰ کیلوگرم ,۷۷۱               ,۳۵               ,بیش از ۷۰۰ لیتر          ,نوفراست                  ,۲۹۰۰۱۷۶۵۰۵۴۲۳  ,۵۰۰ لیتر      ,۵                 ,۶                     ,۲ عدد     ,۲۷۷ لیتر      ,۳                 ,۳                     ,۳                ,                    ,                      ,                      ,              ,                     ,                              ,                                                                                                                                                                                                                                                                                                                                         ,۱۸۱ سانتی‌متر       ,۹۲ سانتی‌متر     ,۹۱ سانتی‌متر       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                         ,                  ,                ,               ,
17 ,DAEWOO-SBS-DS-3730SS        ,             ,A+                ,            ,۷۷۷               ,۳۷               ,بیش از ۷۰۰ لیتر          ,نوفراست                  ,۲۹۰۰۱۷۶۵۰۵۳۹۳  ,۵۰۰ لیتر      ,۵                 ,۵                     ,۲ عدد     ,۲۷۷ لیتر      ,۳                 ,۳                     ,۳                ,                    ,                      ,                      ,              ,                     ,                              ,                                                                                                                                                                                                                                                                                                                                         ,                   ,                ,                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                         ,                  ,۱۸۱۶ سانتی‌متر   ,۹۲۰ سانتی‌متر   ,۹۱۶ سانتی‌متر
18 ,DAEWOO-SBS-DS-3325SS        ,             ,A+                ,            ,۶۳۰               ,۳۲               ,۵۵۱ تا ۷۰۰               ,نوفراست                  ,۲۹۰۰۱۷۶۵۰۵۳۵۵  ,۴۴۰ لیتر      ,۵                 ,۵                     ,۲ عدد     ,۱۹۰ لیتر لیتر ,۳                 ,۳                     ,۳                ,نمایشگر             ,به سمت راست           ,به سمت چپ             ,              ,                     ,یخساز اتوماتیک (آب شهری)      ,                                                                                                                                                                                                                                                                                                                                         ,                   ,                ,                  ,- چشم الكترونیكی هوشمند - سامانه بار خانگی با تکنولوژی جدید - سیستم قدرتمند گردش هوای سه بعدی - مجهز به سامانه سرمایش فلزی - فیلتر نانو کربن - سیستم کاهش صدا در شب                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,- بار خانگی با فناوری جدید آرام بازشو - طبقات شیشه‌ای بدون قاب                                                                                                                                                                                                                                                                            ,                  ,۱۸۱.۶ سانتی‌متر  ,۸۴ سانتی‌متر    ,۹۱.۶ سانتی‌متر سانتی‌متر
23 ,DAEWOO-SBS-DS-3440SS        ,             ,A+                ,۱۲۰ کیلوگرم ,۶۳۰               ,۳۲               ,                         ,نوفراست                  ,۲۹۰۰۱۷۶۵۰۵۴۱۶  ,۴۴۰ لیتر لیتر ,۵                 ,۵                     ,۲ عدد     ,۱۹۰ لیتر لیتر ,۳                 ,۳                     ,۳                ,بدون برفک           ,به سمت راست           ,به سمت چپ             ,              ,                     ,یخساز اتوماتیک (آب شهری)      ,                                                                                                                                                                                                                                                                                                                                         ,                   ,                ,                  ,- دارای فیلتر هوای سه گانه Fresh Max Plus - طبقات شیشه‌ای بدون قاب - محفظه خنک کننده ویژه Magic Cool Zone - سامانه سرمایش فلزی Metal Ice Cooling - سامانه بار خانگی درب سوم همراه با سامانه سرمایش فلزی - سامانه سرمایش سریع در فریزر - سامانه سرمایش سریع در یخچال - دارای حالت خواب - سامانه گردش هوای چندگانه - سامانه کنترل سرمایش الکترونیک - حالت ذخیره انرژی هوشمند (ECO)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                         ,                  ,۱۸۱.۶ سانتی‌متر  ,۸۴ سانتی‌متر    ,۹۱.۶ سانتی‌متر سانتی‌متر
27 ,DAEWOO-SBS-ARSXi30-30S      ,             ,A+                ,۱۱۵ کیلوگرم ,۷۷۱               ,۳۶               ,بیش از ۷۰۰ لیتر          ,نوفراست                  ,۲۹۰۳۲۸۳۶۰۰۵۲۴  ,۴۹۴ لیتر      ,۵                 ,۵                     ,۲ عدد     ,۲۷۷ لیتر      ,۳                 ,۴                     ,۳                ,لامپ یخچال          ,چپ به راست            ,راست به چپ            ,              ,دارد                 ,یخساز اتوماتیک (آب شهری)      ,                                                                                                                                                                                                                                                                                                                                         ,۱۸۱.۶ سانتی‌متر     ,۹۲ سانتی‌متر     ,۹۱.۶ سانتی‌متر     ,گنجایش زیاد فضای داخلی برای نگهداری انواع مواد غذایی / قابل کنترل از طریق برنامه موبایل / دستگیره مخفی / دارای نمایشگر و صفحه کنترل لمسی / دارای آب‌سردکن اتوماتیک                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,مجهز به بار خانگی جهت دسترسی آسان به نوشیدنی‌ها و خوراکی‌های مورد نیاز                                                                                                                                                                                                                                                                     ,ساید بای ساید     ,                ,               ,
28 ,DAEWOO-SBS-DS-3020GW        ,             ,A+                ,۱۲۰ کیلوگرم ,۵۸۸               ,۲۸               ,۵۵۱ تا ۷۰۰               ,نوفراست                  ,۲۹۰۰۱۷۶۵۰۵۳۰۰  ,۳۹۴ لیتر      ,۴                 ,۵                     ,۲ عدد     ,۱۹۴ لیتر      ,۳                 ,۳                     ,۲                ,                    ,                      ,                      ,              ,                     ,                              ,                                                                                                                                                                                                                                                                                                                                         ,                   ,                ,                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                         ,                  ,                ,               ,
30 ,DAEWOO-SBS-DS-3640MW        ,             ,A+                ,۱۲۰ کیلوگرم ,۹۹۱               ,۳۵               ,بیش از ۷۰۰ لیتر          ,نوفراست                  ,۲۹۰۰۱۷۶۵۰۵۴۵۴  ,۴۹۴ لیتر      ,۴                 ,۵                     ,۲ عدد     ,۲۷۷ لیتر      ,۳                 ,۳                     ,۳                ,                    ,                      ,                      ,              ,                     ,                              ,                                                                                                                                                                                                                                                                                                                                         ,                   ,                ,                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                         ,                  ,                ,               ,
31 ,GPLUS-SBS-GSS-P7535 S       ,             ,A++               ,۸۰ کیلوگرم  ,۵۰۷               ,۲۸               ,۴۹۱ تا ۵۵۰               ,نوفراست                  ,۲۹۰۲۰۹۶۶۰۳۰۱۲  ,۳۳۲ لیتر      ,۴                 ,۴                     ,۲ عدد     ,۱۷۵ لیتر      ,۴                 ,۴                     ,۲                ,آبسردکن             ,راست                  ,چپ                    ,              ,                     ,یخساز نیمه اتوماتیک (منبع آب) ,                                                                                                                                                                                                                                                                                                                                         ,۱۷۷ سانتی‌متر       ,۶۷ سانتی‌متر     ,۹۰ سانتی‌متر       ,دارای نمایشگر / سیستم جریان هوای چندگانه                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                                                                                                                                                                         ,ساید بای ساید     ,                ,               ,
32 ,GPLUS-SBS-GSS-M7525BS       ,             ,A++               ,۸۰ کیلوگرم  ,۵۰۷               ,۲۸               ,۴۹۱ تا ۵۵۰               ,نوفراست                  ,۲۹۰۲۰۹۶۶۰۱۷۱۱  ,- لیتر        ,۴                 ,۴                     ,۲ عدد     ,- لیتر        ,۴                 ,۴                     ,۲                ,                    ,                      ,                      ,              ,                     ,                              ,                                                                                                                                                                                                                                                                                                                                         ,۱۷۷ سانتی‌متر       ,۶۷ سانتی‌متر     ,۹۰.۵ سانتی‌متر     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                         ,                  ,                ,               ,
33 ,GPLUS-SBS-GSS-M7525W        ,             ,A++               ,            ,۵۰۷ لیتر          ,۲۸               ,۴۹۱ تا ۵۵۰               ,نوفراست                  ,۲۹۰۲۰۹۶۶۰۱۶۹۸  ,۳۳۲ لیتر لیتر ,۴ طبقه            ,۴ طبقه                ,۴ عدد     ,۱۷۵ لیتر لیتر ,۴ طبقه            ,۴ طبقه                ,۲ عدد            ,بدون برفک           ,                      ,                      ,              ,                     ,                              ,                                                                                                                                                                                                                                                                                                                                         ,                   ,                ,                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,آبریز دستی Water Dispenser / سیستم جریان هوای چندگانه- Multi Air Flow / محفظه Fresh Box جهت تازه ماندن مواد غذایی / نمایشگر LED / فناوری انجماد سریع- Super freezing / امکان سرمایش سریع در یخچال (Quick Cooling) / عملکرد ویژه کاهش مصرف در زمان (Holiday)                                                                              ,                  ,۶۷ سانتی‌متر     ,۱۷۷ سانتی‌متر   ,۹۰.۵ سانتی‌متر
34 ,GPLUS-SBS-GSS-P7920W        ,             ,A+                ,۱۰۰ کیلوگرم ,۷۶۰               ,۳۲               ,بیش از ۷۰۰ لیتر          ,نوفراست                  ,۲۹۰۲۰۹۶۶۰۳۴۷۰  ,۴۶۰ لیتر      ,۴                 ,۴                     ,۲ عدد     ,۲۳۲ لیتر      ,۴                 ,۱                     ,۲                ,بدون برفک           ,راست                  ,چپ                    ,              ,دارد                 ,یخساز اتوماتیک (آب شهری)      ,فناوری انجماد سریع (Super Freezing)                                                                                                                                                                                                                                                                                                      ,۱۷۷ سانتی‌متر       ,۸۵.۲ سانتی‌متر   ,۹۱ سانتی‌متر       ,مجهز به کمپرسور هوشمند اینورتر / بار خانگی (هوم بار) با قابلیت باز شدن تنها با یک اشاره / مجهز به نمایشگر LED لمسی / مجهز به عملکرد ویژه کاهش مصرف در زمان سفر / مجهز به فیلتر تصفیه هوای دائمی سیلور یون (Silver Ion) و جاذب گاز اتیلن                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,فناوری سرمایش سریع (Super Cooling)                                                                                                                                                                                                                                                                                                       ,ساید بای ساید     ,                ,               ,
35 ,GPLUS-SBS-GSS-P7435BG       ,             ,A++               ,۱۶۸ کیلوگرم ,۵۱۰               ,۲۸               ,۴۹۱ تا ۵۵۰               ,نوفراست                  ,۲۹۰۲۰۹۶۶۰۳۰۵۰  ,۳۳۲ لیتر      ,۴                 ,۴                     ,۲ عدد     ,۱۴۰ لیتر      ,۴                 ,۴                     ,۲                ,بدون برفک           ,                      ,                      ,              ,                     ,بدون برفک                     ,دارای انجماد سریع                                                                                                                                                                                                                                                                                                                        ,۱۷۷ سانتی‌متر       ,۶۷ سانتی‌متر     ,۹۰ سانتی‌متر       ,دارای جریان هوای خنک چندگانه / دارای صفحه نمایش LED لمسی                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                                                                                                                                                                         ,ساید بای ساید     ,                ,               ,
36 ,GPLUS-SBS-GSS-P7635 W       ,             ,A+                ,۱۳۰ کیلوگرم ,۴۷۲               ,۲۸               ,۳۵۱ تا ۴۹۰               ,نوفراست                  ,۲۹۰۲۰۹۶۶۰۳۰۰۵  ,۳۳۲ لیتر      ,۴ عدد             ,۴ عدد                 ,۲ عدد عدد ,۱۴۰ لیتر      ,۴ عدد             ,۱ عدد                 ,۲ عدد            ,بدون برفک           ,                      ,                      ,              ,دارد                 ,بدون برفک                     ,                                                                                                                                                                                                                                                                                                                                         ,۱۷۷ سانتی‌متر       ,۶۷ سانتی‌متر     ,۹۰ سانتی‌متر       ,فیلتر تصفیه آب / امکان سرمایش سریع در یخچال (Quick Cooling) / محفظه Fresh Box جهت تازه ماندن مواد غذایی / امکان سرمایش سریع در فریزر (Quick Freezing) / سیستم جریان هوای چندگانه- Multi Air Flow / عملکرد صرفه‌جویی در مصرف انرژی (Eco) / دارای نشانگر LED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                         ,ساید بای ساید     ,                ,               ,
37 ,GPLUS-SBS-GSS-M7423BG       ,             ,A++               ,۱۱۰ کیلوگرم ,۵۱۰               ,۲۸               ,۴۹۱ تا ۵۵۰               ,نوفراست                  ,۲۹۰۲۰۹۶۶۰۱۶۸۱  ,۳۳۵ لیتر      ,۴                 ,۴                     ,۲ عدد     ,۱۷۵ لیتر      ,۴                 ,۴                     ,۲                ,                    ,                      ,                      ,              ,                     ,                              ,                                                                                                                                                                                                                                                                                                                                         ,                   ,                ,                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                         ,                  ,                ,               ,
39 ,GPLUS-SBS-GSS-P7920S        ,             ,A+                ,۱۰۰ کیلوگرم ,۷۶۰               ,۳۲               ,بیش از ۷۰۰ لیتر          ,نوفراست                  ,۲۹۰۲۰۹۶۶۰۳۴۸۷  ,۴۶۰ لیتر      ,۴                 ,۴                     ,۲ عدد     ,۲۳۲ لیتر      ,۴                 ,۱                     ,۲                ,بدون برفک           ,راست                  ,چپ                    ,              ,دارد                 ,یخساز اتوماتیک (آب شهری)      ,فناوری انجماد سریع (Super Freezing)                                                                                                                                                                                                                                                                                                      ,۱۷۷ سانتی‌متر       ,۸۵.۲ سانتی‌متر   ,۹۱ سانتی‌متر       ,مجهز به کمپرسور هوشمند اینورتر / بار خانگی (هوم بار) با قابلیت باز شدن تنها با یک اشاره / مجهز به نمایشگر LED لمسی / مجهز به عملکرد ویژه کاهش مصرف در زمان سفر / مجهز به فیلتر تصفیه هوای دائمی سیلور یون (Silver Ion) و جاذب گاز اتیلن                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,فناوری سرمایش سریع (Super Cooling)                                                                                                                                                                                                                                                                                                       ,ساید بای ساید     ,                ,               ,
